選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"中沢　匠磨","東北楽天ゴールデンイーグルス","栃木","A","1","","力強いストレートで打者を押し込む新人右腕。白鴎大では3年秋のリーグ戦で好成績を残し、チームの優勝に貢献。昨秋には3勝を挙げて最多勝のタイトルに輝いた。1年目から二軍で貪欲に結果を求め、支配下契約に近づきたい。"
"田上　奏大","福岡ソフトバンクホークス","大阪","B","6","650万円（推定）","鋭く変化するカットボールが武器の育成右腕。2024年は春先に発症した難病を克服し、10月に実戦復帰。育成契約を結んで臨んだ昨季は、ファーム非公式戦で登板を重ねた。今季は制球力に磨きをかけ、支配下復帰を手繰り寄せたい。"
"富田　龍","読売ジャイアンツ","香川","O","5","410万円（推定）","直球とスライダーを軸に投球を組み立てる育成左腕。昨季は三軍で高い奪三振能力を発揮。二軍では前年を上回る8試合に登板するも、制球面に課題を残した。今季は公式戦のマウンドで結果を出し、支配下登録の扉を開きたい。"
"大城　滉二","オリックス・バファローズ","沖縄","B","11","4,000万円（推定）","広い守備範囲が魅力のベテラン内野手。昨季は7月に左太もものケガで離脱するも、主に守備固めとして66試合に出場。バッティングでも打率.250と一定の成績を残した。今季も与えられた役割を全うし、チームの勝利に貢献する。"
"小島　和哉","千葉ロッテマリーンズ","埼玉","O","8","14,500万円（推定）","昨季は好不調の波が激しく、前年からやや成績を落としたものの、チーム2位の8勝をマーク。5年連続となる規定投球回到達を果たすなど、先発ローテーションを守った。今季はピッチングの安定感を取り戻し、投手陣を引っ張りたい。"
"岡　大海","千葉ロッテマリーンズ","岡山","B","13","7,000万円（推定）","思い切りの良いスイングが特徴の外野手。昨季は7月に左足を痛め、約2カ月にわたって戦線を離脱。65試合の出場にとどまるも、得点圏打率.333と持ち前の勝負強さを発揮した。今季はケガなく1年を過ごし、チームの勝利に貢献する。"
"江原　雅裕","東北楽天ゴールデンイーグルス","福岡","A","2","1,400万円（推定）","力強いストレートが魅力の救援右腕。昨季は開幕一軍入りを果たすと、30試合に登板して防御率3.45をマーク。9月中旬にはプロ初勝利を挙げるなど、上々のルーキーイヤーとなった。今季は投球の安定感を高め、一軍定着を目指す。"
"梅林　優貴","北海道日本ハムファイターズ","広島","A","7","830万円（推定）","ディフェンス面に定評のある強肩キャッチャー。昨季は二軍で打率.308、4本塁打をマーク。前年に続いて好成績を残すも、一軍ではわずか2試合の出場に終わった。今季はキャンプからアピールを見せ、多くの出番を勝ち取りたい。"
"大塚　瑠晏","北海道日本ハムファイターズ","栃木","不明","1","","俊足を生かした守備が魅力の内野手。高校時代は主将としてセンバツ優勝を経験。昨年の全日本大学野球選手権では、2本塁打を含む16打数8安打の活躍を見せた。1年目から一軍の戦力となるべく、春先から実戦で存在感を示したい。"
"門脇　誠","読売ジャイアンツ","奈良","A","4","4,000万円（推定）","軽快なフットワークが魅力の内野手。昨季はシーズンの大半を一軍で過ごすも、打率.223と結果を残せず。スタメン出場が41試合にとどまるなど、歯がゆい1年となった。今季はバットでアピールを重ね、定位置奪取に挑む。"
"大山　凌","福岡ソフトバンクホークス","栃木","B","3","2,000万円（推定）","威力のあるストレートが武器の右腕。2年目の昨季は前年を上回る26試合に登板し、防御率2.35を記録。5月にはプロ初セーブを挙げるなど、確かな成長を示した。今季は年間を通して安定したピッチングを続け、一軍定着を狙う。"
"福田　俊","北海道日本ハムファイターズ","北海道","A","8","","切れ味抜群のスライダーを投じる左腕。昨季は春季キャンプ中に神経痛を発症。6月に二軍で実戦復帰したものの、一軍登板はゼロに終わった。育成選手として再スタートする今季は、春先から結果でアピールしたい。"
"德山　一翔","東北楽天ゴールデンイーグルス","徳島","A","2","1,000万円（推定）","キレのある直球とチェンジアップが武器の若手左腕。昨季は左肘の故障もあって、二軍での登板は5試合止まり。7月にはトミー・ジョン手術を受け、オフに育成契約を結んだ。今季はリハビリに励み、早期の実戦復帰を目指す。"
"林　燦","読売ジャイアンツ","北海道","A","1","","威力のある直球と豊富な変化球を操る新人右腕。立正大入学後に肉体強化の取り組みが実り、大幅な球速アップに成功。リーグ戦では主に救援として活躍し、4年秋には1部昇格に貢献した。まずは二軍で経験を積み、早期の支配下登録を狙う。"
"中村　亮太","千葉ロッテマリーンズ","千葉","O","6","500万円（推定）","真上から角度のあるボールを投げ下ろす育成右腕。ロッテに移籍して迎えた昨季は、二軍で15試合に登板。防御率5点台に終わるなど、思うようなシーズンを過ごせなかった。今季は春先から猛アピールを見せ、支配下契約を手繰り寄せたい。"
"野村　勇","福岡ソフトバンクホークス","兵庫","B","5","5,200万円（推定）","抜群の瞬発力を備える内野手。昨季は126試合に出場し、3年ぶりに2ケタ本塁打を記録。日本シリーズの第5戦でも決勝ソロを放つなど、充実のシーズンを送った。今季も自身の持ち味を発揮し、レギュラーの座を確固たるものとする。"
"川瀬　晃","福岡ソフトバンクホークス","大分","B","11","5,000万円（推定）","堅実なプレーが持ち味の内野手。10年目の昨季は102試合に出場し、プロ初を含む2本塁打を記録。5月2日には代打でサヨナラ打を放つなど、要所での勝負強さが光った。今季も指揮官の起用に応え、レギュラー争いを制したい。"
"川勝　空人","北海道日本ハムファイターズ","大阪","A","2","260万円（推定）","キレのあるスライダーが武器の育成右腕。高卒1年目の昨季は体づくりに取り組みつつ、6月に公式戦デビュー。二軍で7試合に登板するなど、貴重な経験を積んだ。今季は実戦登板を重ね、支配下登録へアピールしたい。"
"金子　京介","東北楽天ゴールデンイーグルス","東京","B","1","","広角に長打を飛ばす育成ルーキー。神奈川大では下級生時から公式戦に出場。昨春のリーグ戦では10試合で4本塁打と持ち味を示した。プロでも猛練習に取り組み、いち早く支配下登録を勝ち取りたい。"
"小川　龍成","千葉ロッテマリーンズ","群馬","O","6","2,700万円（推定）","スピード感あふれるプレーが特徴の内野手。昨季は出場こそ87試合にとどまるも、得点圏打率.383と勝負強さを発揮。状況に応じた犠打や進塁打などでも着実な貢献を見せた。今季は首脳陣に猛アピールし、レギュラーの座をつかみ取る。"
"川村　友斗","福岡ソフトバンクホークス","北海道","O","5","1,800万円（推定）","走攻守のバランスが取れた外野手。昨季は二軍調整中の5月に右手を骨折し、約2カ月半の離脱を経験。一軍での出場は前年を下回る15試合に終わった。今季は万全のコンディションを維持し、レギュラー争いに参戦する。"
"河野　聡太","オリックス・バファローズ","福岡","A","3","260万円（推定）","安定した守備が魅力の育成内野手。2年目の昨季は二軍で内野の全ポジションを守り、54試合に出場。打率こそ.245にとどまるも、出塁率.352の好成績を残した。今季は春先からアピールを重ね、支配下昇格を果たしたい。"
"宗　佑磨","オリックス・バファローズ","東京","B","12","6,200万円（推定）","シャープなスイングから鋭い打球を飛ばす内野手。昨季は打撃が低迷し、約1カ月半の二軍生活を経験。6月の一軍復帰後は6本塁打を放つも、シーズン打率は.235にとどまった。今季は本来の打棒を取り戻し、首脳陣の信頼を勝ち取る。"
"堀内　謙伍","東北楽天ゴールデンイーグルス","静岡","A","11","1,500万円（推定）","鋭い送球とパンチ力のある打撃が魅力の捕手。10年目の昨季は自己最多となる76試合に出場。プロ初本塁打を含む3本のアーチを描くなど、打撃面で飛躍を遂げた。今季はキャンプからアピールを重ね、正捕手の座を勝ち取りたい。"
"万波　中正","北海道日本ハムファイターズ","東京","A","8","19,500万円（推定）","強肩と強打が魅力の外野手。昨季はリーグ4位の20本塁打を放つも、打率は.229と低迷。守備でもゴールデングラブ賞を逃すなど、不本意なシーズンとなった。今季は攻守の確実性を高め、チームをリーグ優勝へ導く。"
"北斗（大山　北斗）","福岡ソフトバンクホークス","沖縄","不明","1","","力強い直球を投じる育成新人右腕。中央大では準硬式野球部に所属し、球速が大幅にアップ。昨春のリーグ戦では6勝1敗、防御率0.71を記録した。プロでも厳しい鍛錬を続け、12球団最後のドラフト指名から支配下契約をつかみ取る。"
"福永　奨","オリックス・バファローズ","神奈川","B","5","1,700万円（推定）","安定感のあるディフェンスが持ち味の捕手。昨季は年間を通して一軍に同行し、39試合に出場。9月29日にはプロ初本塁打を放つなど、確かな成長を示した。今季はバッティングの確実性を高め、より多くのスタメンマスクをかぶりたい。"
"藤田　大清","北海道日本ハムファイターズ","長野","AB","4","300万円（推定）","巧みなバットさばきを見せる育成外野手。昨季は二軍で37試合に出場。前年を大きく上回る打率.258を記録するなど、確かな成長を示した。4年目の今季はさらなる結果を残し、支配下登録へ前進したい。"
"熊谷　太雅","福岡ソフトバンクホークス","宮城","不明","2","360万円（推定）","潜在能力の高さを評価されている育成サウスポー。高卒1年目の昨季は公式戦での登板機会はなく、11月には左肘の手術を受けた。まずは患部のリハビリに取り組み、今季中にマウンドへの復帰を果たしたい。"
"小木田　敦也","オリックス・バファローズ","秋田","AB","5","2,300万円（推定）","両コーナーへ丁寧に投げ分ける右腕。昨季は前年に故障した右肘が思うように回復せず。4月にトミー・ジョン手術を受け、その後はリハビリに努めた。育成契約となって迎える今季は患部のコンディションを万全にし、実戦復帰を目指す。"
"佐々木　明都","福岡ソフトバンクホークス","東京","B","4","360万円（推定）","高いポテンシャルを備える育成右腕。昨季は2023年に受けたトミー・ジョン手術から復帰。10月には秋季教育リーグのマウンドに上がるなど、実戦登板を重ねた。今季はコントロールを向上させ、まずは二軍で結果を残したい。"
"坂井　陽翔","東北楽天ゴールデンイーグルス","兵庫","B","3","640万円（推定）","質の高いボールを投じる若手右腕。高卒2年目の昨季は、二軍で主に先発として15試合に登板。10月4日の一軍初先発では、5回1失点の好投を見せた。今季はさらなるスケールアップを図り、首脳陣に成長をアピールしたい。"
"Ｊ．ティマ","読売ジャイアンツ","ドミニカ共和国","不明","6","","圧倒的なパワーで放物線を描く育成助っ人。昨季は二軍で4月までに5本塁打をマーク。その後は調子を落とすも、夏場以降は打撃の確実性を上げた。今季も持ち前の打力をアピールし、支配下登録を手繰り寄せたい。"
"吉田　輝星","オリックス・バファローズ","秋田","AB","8","2,800万円（推定）","力のある速球で打者を押し込む右腕。昨季は前年に故障した右肘の状態が上がらず。3月に同箇所のトミー・ジョン手術を受け、シーズンを通してリハビリに努めた。今季は万全なコンディションを取り戻し、公式戦のマウンドを目指す。"
"宮原　駿介","読売ジャイアンツ","神奈川","B","2","1,000万円（推定）","直球とカットボールのコンビネーションが光る左腕。1年目の昨季は二軍で好成績を収め、8月に一軍へ初昇格。その後は14試合に登板し、2ホールドを記録した。今季はより多くの出番をつかみ、救援陣に欠かせない存在となる。"
"本前　郁也","千葉ロッテマリーンズ","北海道","A","7","1,000万円（推定）","緩急を生かした投球が魅力の育成左腕。昨季は左上腕骨の骨折から実戦復帰。二軍では1試合の登板にとどまるも、10月の秋季教育リーグで登板を重ねた。今季は本来のボールを取り戻し、支配下登録へ前進したい。"
"牧　秀悟","横浜DeNAベイスターズ","長野","O","6","25,000万円（推定）","昨季は前半戦だけで15本塁打をマークするも、8月1日にコンディション不良で離脱。同月中に左手の手術を受け、出場は自己最少の93試合にとどまった。今季は開幕から万全の状態で臨み、年間を通して打線の中心を担いたい。"
"三塚　琉生","読売ジャイアンツ","東京","AB","4","450万円（推定）","豪快なフルスイングが魅力の育成出身スラッガー。昨季は二軍で打率.318、9本塁打の好成績をマーク。6月には支配下契約を勝ち取り、一軍の舞台も経験した。今季は得意の打撃をさらに鍛え、出番を増やしたい。"
"前田　悠伍","福岡ソフトバンクホークス","滋賀","A","3","1,100万円（推定）","制球力に優れる若手左腕。昨季は二軍で15試合に先発して防御率1.72をマークし、7月には一軍でプロ初勝利を達成。9月に左肘の手術を受け、そのまま2年目のシーズンを終えた。今季はコンディションを整え、さらなる飛躍を遂げる。"
"Ｃ．フェリス","読売ジャイアンツ","ドミニカ共和国","不明","2","","規格外の巨体から生み出されるパワーが魅力の助っ人。昨季は6月に行われた球団主催のトライアウトを経て、巨人と育成契約を締結。その後は主に三軍戦で出場を重ねた。今季は豪快なバッティングを披露し、結果で成長を示したい。"
"Ｌ．ペルドモ","オリックス・バファローズ","ドミニカ共和国","不明","4","","ツーシームを武器にゴロの山を築く右腕。昨季は開幕から勝ちパターンの一翼を担い、50試合に登板。8月以降に成績を落とすも、チームトップの33ホールドを記録した。来日4年目の今季は好不調の波を抑え、年間を通した活躍を誓う。"
"山城　航太郎","北海道日本ハムファイターズ","福岡","A","2","770万円（推定）","力強いボールを真上から投げ下ろす若手右腕。ルーキーイヤーの昨季は二軍で7試合に登板。右肩のコンディション不良の影響もあり、6月以降は公式戦のマウンドに上がれなかった。今季は状態を万全に整え、実戦経験を重ねたい。"
"横山　永遠","北海道日本ハムファイターズ","長野","不明","1","","剛速球を投げ込む育成新人右腕。大学時代は投打の二刀流としてプレー。球団のトライアウトで最速155キロのボールを投げ込み、ドラフト指名へとこぎつけた。まずは投手としてのスキルを磨き、1年目から支配下登録を目指す。"
"森本　哲星","読売ジャイアンツ","鳥取","B","4","380万円（推定）","緩急を生かしたピッチングが光る育成左腕。昨季は三軍でプレーを続けるもアピール不足に終わり、公式戦デビューは果たせなかった。今季は全体的なスケールアップを図り、まずは二軍での登板機会をつかみたい。"
"宮里　優吾","福岡ソフトバンクホークス","東京","A","3","400万円（推定）","独特な軌道で落ちるフォークが武器の育成右腕。2年目の昨季は、二軍で7月までに防御率0.48の好成績をマーク。8月からはオイシックスへ派遣され、多くの登板を重ねた。今季は春先から結果を残し、支配下登録を勝ち取る。"
"Ｒ．オスナ","福岡ソフトバンクホークス","メキシコ","不明","5","","昨季は開幕から不安定な投球が続き、6月にはコンディション不良で戦線離脱。9月に実戦復帰を果たすも状態は上がらず、ポストシーズンの登板は回避する形となった。今季は本来の球威を取り戻し、勝ちパターンの一翼を担いたい。"
"山崎　琢磨","福岡ソフトバンクホークス","大阪","B","5","360万円（推定）","ゲームメーク能力に優れる育成右腕。昨季はファーム非公式戦でまずまずの成績を残すも、二軍戦のマウンドには上がれず。10月には秋季教育リーグに参加した。今季はさらなるステップアップを図り、支配下登録を手繰り寄せたい。"
"吉田　賢吾","北海道日本ハムファイターズ","神奈川","B","4","1,200万円（推定）","広角に長打を放つ若手スラッガー。移籍1年目の昨季は主に外野を守り、自己最多の47試合に出場。プロ初アーチを含む4本塁打を放つなど、飛躍への足がかりを築いた。今季も持ち前の打棒でアピールを重ね、出番を増やしたい。"
"ワォーターズ（ワォーターズ　璃海ジュミル）","東北楽天ゴールデンイーグルス","沖縄","不明","3","","スピードを生かしたプレーが持ち味の若手内野手。2年目の昨季は、二軍でショートとしてチーム最多の出場数を記録。多くの実戦経験を積むも、打率1割台と打撃面で課題を残した。今季も技術の向上に励み、攻守で成長を示したい。"
"Ｄ．ビシエド","横浜DeNAベイスターズ","キューバ","不明","11","","豪快なスイングで痛烈な打球を飛ばすスラッガー。昨季はシーズン途中にDeNAに加入し、43試合に出場。9月28日の広島戦ではNPB通算1000試合出場を達成した。今季も持ち前の打棒を発揮し、チームを勝利に導きたい。"
"Ｊ．デュプランティエ","横浜DeNAベイスターズ","アメリカ","不明","2","","速球とナックルカーブが武器の助っ人右腕。来日1年目の昨季は阪神でプレーし、15試合に先発。投球回を大きく上回る三振を奪い、防御率1.39を記録した。DeNAに移籍して迎える今季も、力強い投球でチームの勝利に貢献したい。"
"Ｃ．ヒュンメル","横浜DeNAベイスターズ","アメリカ","不明","1","","優れた選球眼とパンチ力のある打撃が魅力の外野手。昨季はマイナーで44試合に出場し、13本塁打をマーク。出塁率.439を残すなど、持ち味を発揮した。来日1年目からNPBの環境に適応し、チームの力になりたい。"
"福谷　浩司","北海道日本ハムファイターズ","愛知","B","14","4,500万円（推定）","威力のある速球が武器の右腕。移籍1年目の昨季はリリーフとして14試合に登板し、防御率3.77を記録。6月の登録抹消後は一軍に戻れなかったが、二軍で安定した投球を続けた。今季は持ち球の質に磨きをかけ、チームを支えたい。"
"塩士　暖","福岡ソフトバンクホークス","石川","O","2","360万円（推定）","伸びのあるストレートが魅力の育成右腕。高卒1年目の昨季は、ファーム非公式戦で経験を蓄積。8月には柳田ら調整中の主力選手と実戦形式で対戦する貴重な機会もあった。今季もスケールアップを図り、まずは二軍戦のマウンドを目指す。"
"鈴木　豪太","福岡ソフトバンクホークス","滋賀","A","1","","サイドハンドから威力ある直球を投げ込むルーキー右腕。大学3年春のリーグ戦では、防御率0.00でMVPを獲得。4年春にもフル回転の活躍を見せ、チームを優勝に導いた。プロでも1年目から持ち味を発揮し、あらゆる起用に応える。"
"園田　純規","読売ジャイアンツ","福岡","A","3","420万円（推定）","将来のエース候補として期待される育成右腕。昨季は二軍で14試合に登板し、公式戦初完封を含む無傷の8勝をマーク。ファーム日本選手権で先発を務めるなど、充実の1年を送った。今季も引き続き結果を残し、支配下登録を勝ち取る。"
"池田　栞太","福岡ソフトバンクホークス","新潟","O","1","","強肩を生かしたスローイングが売りの育成キャッチャー。関根学園高では1年夏からベンチ入り。昨夏の新潟大会では、中軸を担う正捕手としてチームのベスト4進出に貢献した。まずは体づくりに努め、ポテンシャルを引き出したい。"
"池田　来翔","千葉ロッテマリーンズ","千葉","O","5","2,000万円（推定）","積極的なバッティングを見せる内野のユーティリティー。昨季は4月に一軍昇格を果たすと、自己最多の83試合に出場。打率.238にとどまるも、5本塁打とパンチ力を発揮した。今季はより一層の成長を遂げ、レギュラーの座を狙う。"
"生海（甲斐　生海）","福岡ソフトバンクホークス","福岡","B","4","","長打力が持ち味の育成外野手。昨季は前年に診断を受けた脳挫傷から約1年半ぶりに実戦復帰。韓国遠征では本塁打を放つなど、順調な回復ぶりを示した。今季も一歩ずつ前進し、支配下登録への返り咲きを目指す。"
"石田　裕太郎","横浜DeNAベイスターズ","神奈川","A","3","3,000万円（推定）","コーナーにキレのあるボールを投げ分ける右腕。昨季は13先発を含む21試合に登板。イニング数を上回る奪三振を記録するなど、一定の成績を残した。今季もマウンドで躍動し、チームに勝利を呼び込みたい。"
"西川　遥輝","北海道日本ハムファイターズ","和歌山","A","16","","俊足巧打が持ち味の外野手。ヤクルトに所属した昨季は開幕スタメンに名を連ねるも、打率.174と低迷。49試合の出場に終わり、オフに戦力外通告を受けた。5年ぶりに日本ハムへ復帰した今季は、再び一軍の舞台で輝きを放ちたい。"
"中川　虎大","横浜DeNAベイスターズ","和歌山","B","9","2,300万円（推定）","落差の大きいフォークを操る右腕。8年目の昨季は30試合に救援登板し、防御率3.16をマーク。10月1日のヤクルト戦ではプロ初セーブを挙げた。今季は直球にも磨きをかけ、勝利の方程式入りを目指す。"
"鈴木　圭晋","読売ジャイアンツ","神奈川","B","2","360万円（推定）","バランスの取れたフォームからキレのあるボールを投じる育成右腕。高卒1年目の昨季はコンディション不良による離脱があったものの、三軍で貴重な実戦経験を積んだ。今季はさらなるスキルアップに励み、公式戦のマウンドに上がりたい。"
"田和　廉","読売ジャイアンツ","京都","A","1","","サイド気味のフォームから独特な軌道のシンカーを投じるルーキー右腕。早稲田大では主にリリーフとして活躍。リーグ戦通算29試合に登板し、防御率2.08を記録した。1年目から任された役割を全うし、チームの勝利に貢献したい。"
"田上　優弥","読売ジャイアンツ","神奈川","O","3","370万円（推定）","軽快なフットワークを見せる育成内野手。高卒2年目の昨季は年間を通して三軍でプレー。多くの実戦経験を積み、バットでも成長をアピールした。今季はあらゆる面でステップアップを遂げ、まずは二軍デビューを目指す。"
"大城　卓三","読売ジャイアンツ","沖縄","B","9","16,000万円（推定）","昨季は主に代打として起用されるも、打率1割台と低迷。プロ入り後最も少ない56試合の出場に終わるなど、不完全燃焼の1年を過ごした。巻き返しを図る今季は自身のバッティングを見つめ直し、首脳陣の信頼を取り戻す。"
"岩崎　峻典","福岡ソフトバンクホークス","大阪","A","2","860万円（推定）","多彩な球種で打者を惑わす右腕。ルーキーイヤーの昨季は5月にプロ初登板を果たすも、一軍での登板はこの1試合のみ。シーズン終盤は二軍で先発として経験を積んだ。今季は緩急を生かした投球術を身につけ、先発陣に割って入りたい。"
"エミール（エミール　セラーノ　プレンサ）","福岡ソフトバンクホークス","ドミニカ共和国","不明","1","","規格外のパワーを秘める育成外野手。高校3年夏の栃木大会では、3試合で打率.583、2本塁打、9打点を記録。3回戦ではサヨナラ満塁ホームランを放った。まずはプロの水に慣れ、支配下登録に向けて実戦でアピールを重ねたい。"
"今川　優馬","北海道日本ハムファイターズ","北海道","A","6","1,600万円（推定）","パンチ力が売りの外野手。昨季は二軍で打率.403、7本塁打の好成績をマーク。一軍では9月に自身3年ぶりの一発を放つなど、シーズン終盤での活躍が光った。今季はキャンプから猛アピールを見せ、より多くの出場機会を勝ち取る。"
"大竹　風雅","福岡ソフトバンクホークス","福島","A","5","600万円（推定）","多彩な球種を操る育成右腕。昨季の8月以降は派遣先のくふうハヤテでプレー。二軍では最終的に15試合に登板し、防御率5.70を記録した。今季はあらゆる面でレベルアップを図り、支配下復帰を手繰り寄せたい。"
"大野　稼頭央","福岡ソフトバンクホークス","鹿児島","B","4","620万円（推定）","伸びのある直球で空振りを奪う若手左腕。高卒3年目の昨季は、二軍で投球回を大きく上回る奪三振を記録。6月には一軍デビューを果たすなど、着実にステップアップを果たした。今季はさらなる成長を示し、一軍での登板を増やしたい。"
"大泉　周也","福岡ソフトバンクホークス","山形","O","3","400万円（推定）","広角に鋭い打球を飛ばす育成外野手。昨季はファーム非公式戦で好成績を収めるも、二軍では打率.267、0本塁打に終わった。今季は春先から首脳陣に猛アピールを続け、支配下登録を勝ち取りたい。"
"丸　佳浩","読売ジャイアンツ","千葉","AB","19","20,000万円（推定）","昨季は右足のケガで出遅れ、5月下旬に一軍へ合流。その後は主に1番打者を務め、8月19日にはサイクル安打を達成した。通算2000安打まで残り71本として迎える今季も、変わらぬ打撃技術で快打を連発する。"
"板東　湧梧","読売ジャイアンツ","徳島","AB","8","","制球力に秀でた右腕。ソフトバンクに所属した昨季は、二軍でリーグトップの防御率2.48を記録。シーズンを通してアピールを続けるも、一軍からは声がかからなかった。新天地で育成契約を結んだ今季は、春先から存在感を示したい。"
"山川　穂高","福岡ソフトバンクホークス","沖縄","A","13","45,000万円（推定）","昨季はリーグ2位の23本塁打を放つも、打率が.226と低迷。レギュラーシーズンは満足な結果を残せなかったが、日本シリーズではMVPに輝く活躍を見せた。今季は年間を通して打線をけん引し、より多くの得点を生み出す。"
"谷村　剛","千葉ロッテマリーンズ","和歌山","A","2","270万円（推定）","鋭いスイングで快音を連発する育成内野手。高卒1年目の昨季は二軍で44試合に出場。打率.144とプロの壁にぶつかるも、7月には公式戦初アーチを放った。今季は打撃の確実性を高め、実戦で結果を残したい。"
"野上　士耀","オリックス・バファローズ","愛知","A","1","","思い切りの良いスイングが売りの新人捕手。明秀日立高では、3年夏の茨城大会決勝で延長10回に決勝打を放つ活躍。甲子園でも盗塁を阻止するなど、攻守両面で存在感を示した。まずはプロで戦う土台づくりを進め、実戦デビューに備える。"
"中川　颯","横浜DeNAベイスターズ","神奈川","A","6","","横の揺さぶりで打者を打ち取るアンダーハンド。移籍2年目の昨季は27試合にリリーフ登板。防御率1.93を残すも、後半戦は登板機会に恵まれなかった。今季は首脳陣の信頼を勝ち取り、より多くの出番をつかみたい。"
"中島　大輔","東北楽天ゴールデンイーグルス","和歌山","O","3","3,700万円（推定）","走攻守3拍子そろった若手外野手。2年目の昨季は規定打席に到達し、打率.266、22盗塁をマーク。夏場からはリードオフマンに定着するなど、飛躍のシーズンとなった。今季も塁上をにぎわし、より多くの得点を演出したい。"
"唐川　侑己","千葉ロッテマリーンズ","千葉","O","19","4,400万円（推定）","独特なカットボールで打者を封じるベテラン右腕。昨季は6月に救援として一軍へ昇格するも、登板時に右膝を痛めて離脱。復帰後の9月には1試合に先発して好投を見せた。今季は与えられた役割を果たし、開幕からチームの戦力となりたい。"
"香月　一也","オリックス・バファローズ","福岡","A","12","480万円（推定）","シャープなスイングから鋭い打球を飛ばす育成内野手。昨季は二軍で主にファーストとして34試合に出場。打率.280と一定の成績を残すも、支配下復帰は果たせなかった。12年目を迎える今季は、不退転の決意で一軍の舞台を目指す。"
"加治屋　蓮","東北楽天ゴールデンイーグルス","宮崎","B","13","3,400万円（推定）","バットの芯を外してゴロを量産するベテランリリーバー。移籍1年目の昨季は、自身2年ぶりとなる50試合登板をクリア。18ホールドを挙げるなど、新天地で存在感を示した。今季も自身の持ち味を発揮し、ブルペン陣の一翼を担う。"
"加藤　響","横浜DeNAベイスターズ","神奈川","A","2","750万円（推定）","思い切りの良いスイングを見せる内野手。1年目の昨季は二軍で87試合に出場し、5本塁打をマーク。9月に一軍昇格を果たすと、同月13日にプロ初安打を記録した。今季はプレーの確実性を高め、ポジション争いに食い込みたい。"
"奥村　頼人","千葉ロッテマリーンズ","滋賀","O","1","","将来性豊かなルーキー左腕。高校時代は投打でチームをけん引し、3年春にはセンバツ優勝を経験。昨年のU-18ワールドカップでは、自己最速を更新する148キロをマークした。まずは体力強化に取り組み、プロで戦う土台を築きたい。"
"亀田　啓太","読売ジャイアンツ","神奈川","O","5","390万円（推定）","シュアな打撃を見せる育成キャッチャー。4年目の昨季は二軍で17試合に出場。25打数8安打をマークするなど、バッティングで存在感を示した。今季はより一層アピールを重ね、念願の支配下登録を勝ち取りたい。"
"北村　流音","読売ジャイアンツ","群馬","O","4","370万円（推定）","優れた打撃センスを持つ育成内野手。昨季は三軍で実戦経験を積むも、思うような成績を残せず。二軍での出番がゼロに終わるなど、悔しさの残るシーズンだった。今季は全体的なスキルアップに励み、ポテンシャルを開花させたい。"
"廣岡　大志","オリックス・バファローズ","大阪","O","11","4,400万円（推定）","長打力を備えるユーティリティー。昨季は6月に骨折で離脱するも、自身初の規定打席に到達。打率.254、7本塁打をマークし、守備でも内外野6つのポジションをこなした。今季も攻守に存在感を見せ、レギュラー定着を目指す。"
"松本　剛","読売ジャイアンツ","埼玉","AB","15","","コンタクト能力に優れる外野手。日本ハムでプレーした昨季は、打率.188と成績が低迷。約1カ月半の二軍調整も経験し、一軍出場は66試合にとどまった。新天地で迎える今季は本来のバッティングを取り戻し、チームの勝利に貢献する。"
"西川　史礁","千葉ロッテマリーンズ","和歌山","A","2","4,200万円（推定）","広角に快打を放つ若手外野手。1年目の昨季は序盤こそ苦しむも、規定打席をクリアして打率.281を記録。リーグトップとなる27本の二塁打を放ち、新人王に輝いた。今季はパワーアップした打撃を披露し、チームを優勝へと導きたい。"
"堀田　賢慎","読売ジャイアンツ","岩手","O","7","1,500万円（推定）","角度のあるボールを投げ下ろす7年目右腕。昨季は開幕一軍入りを果たすも、防御率5.24と振るわず。登板は前年を下回る8試合にとどまり、未勝利でシーズンを終えた。今季は投球の幅を広げ、存在感を放ちたい。"
"藤井　健翔","読売ジャイアンツ","岡山","O","1","","打球を飛ばす能力にたけた大型ルーキー。浦和学院高では主砲として打線をけん引。3年春の埼玉大会では準決勝と決勝で計3本塁打を放ち、チームの優勝に貢献した。球界を代表するスラッガーを目指し、まずは二軍で鍛錬に励む。"
"齋藤　友貴哉","北海道日本ハムファイターズ","山形","O","8","5,500万円（推定）","剛速球で打者をねじ伏せる右腕。昨季は47試合に救援登板し、防御率1.35をマーク。勝ちパターンの一翼を担い、クライマックスシリーズではクローザーとして活躍した。今季もブルペン陣の柱として働き、チームの勝利に貢献する。"
"今野　龍太","東北楽天ゴールデンイーグルス","宮城","AB","13","3,300万円（推定）","クイックモーションから伸びのある直球を投じる救援右腕。6年ぶりに楽天へ復帰した昨季は42試合に登板。あらゆる場面でマウンドに上がり、指揮官の起用に応えた。今季もチームのために腕を振り続け、ブルペン陣を支えたい。"
"木下　勇人","福岡ソフトバンクホークス","沖縄","O","2","360万円（推定）","抜群の脚力を誇る育成外野手。高卒1年目の昨季は故障の影響もあり、実戦で経験を積むことが満足にできないシーズンだった。今季は走攻守すべてでレベルアップを遂げ、公式戦で結果を残したい。"
